rank,name,max_total_reward,mean_last_50,min_total_reward,mean_all,std_all,success_count,success_rate_pct,gamma,lr_pi,lr_v,hidden,shaping_scale,entropy_coef
1,run02_g0.990_pi0.0005_v0.001_h256_sh10_ent0.01,-85.0000,-136.8800,-200.0000,-184.9680,26.3575,477,31.80,0.99,0.0005,0.001,256,10.0,0.01
2,run10_g0.980_pi0.0005_v0.001_h256_sh20_ent0.01,-114.0000,-146.9400,-200.0000,-187.4040,24.0519,421,28.07,0.98,0.0005,0.001,256,20.0,0.01
3,run08_g0.995_pi0.0003_v0.001_h256_sh30_ent0.02,-116.0000,-170.0600,-200.0000,-193.8787,14.7053,291,19.40,0.995,0.0003,0.001,256,30.0,0.02
4,run04_g0.990_pi0.0003_v0.0005_h256_sh20_ent0.02,-118.0000,-177.6800,-200.0000,-192.6947,16.1862,331,22.07,0.99,0.0003,0.0005,256,20.0,0.02
5,run01_g0.990_pi0.0005_v0.001_h128_sh10_ent0.01,-119.0000,-176.5200,-200.0000,-194.1567,14.4870,272,18.13,0.99,0.0005,0.001,128,10.0,0.01
6,run06_g0.995_pi0.0005_v0.0005_h256_sh15_ent0.05,-121.0000,-197.9400,-200.0000,-194.3833,14.1729,265,17.67,0.995,0.0005,0.0005,256,15.0,0.05
7,run18_g0.995_pi0.0002_v0.0005_h256_sh10_ent0.02,-124.0000,-195.5400,-200.0000,-199.3100,4.9427,42,2.80,0.995,0.0002,0.0005,256,10.0,0.02
8,run14_g0.990_pi0.001_v0.001_h256_sh15_ent0.05,-144.0000,-197.9600,-200.0000,-198.3413,6.5573,130,8.67,0.99,0.001,0.001,256,15.0,0.05
9,run13_g0.990_pi0.001_v0.001_h128_sh10_ent0.05,-157.0000,-200.0000,-200.0000,-199.3527,4.5242,41,2.73,0.99,0.001,0.001,128,10.0,0.05
10,run16_g0.990_pi0.0005_v0.0003_h256_sh10_ent0.05,-166.0000,-200.0000,-200.0000,-199.9573,1.1700,2,0.13,0.99,0.0005,0.0003,256,10.0,0.05
11,run15_g0.990_pi0.0005_v0.0003_h128_sh30_ent0.02,-167.0000,-198.7800,-200.0000,-199.9593,1.1167,2,0.13,0.99,0.0005,0.0003,128,30.0,0.02
12,run09_g0.980_pi0.0005_v0.001_h128_sh10_ent0.01,-170.0000,-198.8400,-200.0000,-199.9607,1.0420,4,0.27,0.98,0.0005,0.001,128,10.0,0.01
13,run03_g0.990_pi0.0003_v0.0005_h128_sh20_ent0.02,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.99,0.0003,0.0005,128,20.0,0.02
14,run05_g0.995_pi0.0005_v0.0005_h128_sh15_ent0.05,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.995,0.0005,0.0005,128,15.0,0.05
15,run07_g0.995_pi0.0003_v0.001_h128_sh20_ent0.02,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.995,0.0003,0.001,128,20.0,0.02
16,run11_g0.980_pi0.0003_v0.0003_h128_sh25_ent0.05,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.98,0.0003,0.0003,128,25.0,0.05
17,run12_g0.980_pi0.0003_v0.0003_h256_sh25_ent0.05,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.98,0.0003,0.0003,256,25.0,0.05
18,run17_g0.995_pi0.0002_v0.0005_h128_sh20_ent0.01,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.995,0.0002,0.0005,128,20.0,0.01
19,run19_g0.980_pi0.0002_v0.0003_h128_sh15_ent0.05,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.98,0.0002,0.0003,128,15.0,0.05
20,run20_g0.980_pi0.0002_v0.0003_h256_sh30_ent0.05,-200.0000,-200.0000,-200.0000,-200.0000,0.0000,0,0.00,0.98,0.0002,0.0003,256,30.0,0.05
