rank,name,max_total_reward,mean_last_50,min_total_reward,mean_all,std_all,success_count,success_rate_pct,gamma,lr,epsilon,batch_size,sync_interval,hidden
1,run04_g0.99_lr0.0005_ee0.02_b32_s10_h256_sh10,-83.0000,-104.5600,-200.0000,-173.2260,35.0625,686,45.73,0.99,0.0005,0.02,32,10,256
2,run14_g0.98_lr0.001_ee0.02_b32_s10_h256_sh15,-83.0000,-111.4800,-200.0000,-176.0153,34.1701,632,42.13,0.98,0.001,0.02,32,10,256
3,run01_g0.99_lr0.001_ee0.02_b32_s10_h256_sh10,-84.0000,-110.2400,-200.0000,-174.5653,34.7808,653,43.53,0.99,0.001,0.02,32,10,256
4,run05_g0.99_lr0.0005_ee0.05_b32_s10_h256_sh10,-84.0000,-116.4000,-200.0000,-176.6967,33.6893,638,42.53,0.99,0.0005,0.05,32,10,256
5,run07_g0.98_lr0.0005_ee0.05_b32_s10_h256_sh10,-84.0000,-123.6400,-200.0000,-177.3947,32.7667,628,41.87,0.98,0.0005,0.05,32,10,256
6,run12_g0.99_lr0.0002_ee0.02_b64_s10_h128_sh10,-84.0000,-116.5400,-200.0000,-175.9420,33.6622,678,45.20,0.99,0.0002,0.02,64,10,128
7,run15_g0.99_lr0.0005_ee0.02_b32_s10_h256_sh20,-84.0000,-107.2800,-200.0000,-174.6433,33.9235,640,42.67,0.99,0.0005,0.02,32,10,256
8,run17_g0.99_lr0.001_ee0.05_b32_s20_h256_sh10,-84.0000,-130.7200,-200.0000,-182.9353,26.1835,570,38.00,0.99,0.001,0.05,32,20,256
9,run20_g0.99_lr0.001_ee0.02_b64_s10_h256_sh10,-84.0000,-109.3400,-200.0000,-173.8740,34.9324,679,45.27,0.99,0.001,0.02,64,10,256
10,run02_g0.99_lr0.001_ee0.02_b32_s20_h256_sh10,-85.0000,-141.1400,-200.0000,-183.2847,25.4077,545,36.33,0.99,0.001,0.02,32,20,256
11,run03_g0.99_lr0.001_ee0.02_b64_s10_h256_sh10,-85.0000,-111.6600,-200.0000,-173.8487,35.1455,665,44.33,0.99,0.001,0.02,64,10,256
12,run06_g0.99_lr0.0005_ee0.02_b64_s20_h256_sh10,-85.0000,-131.4600,-200.0000,-180.6013,27.1040,610,40.67,0.99,0.0005,0.02,64,20,256
13,run08_g0.98_lr0.0005_ee0.05_b32_s10_h128_sh10,-85.0000,-110.3000,-200.0000,-177.2960,31.6072,662,44.13,0.98,0.0005,0.05,32,10,128
14,run09_g0.98_lr0.001_ee0.02_b64_s20_h256_sh10,-85.0000,-131.6400,-200.0000,-177.9640,27.5251,687,45.80,0.98,0.001,0.02,64,20,256
15,run18_g0.98_lr0.0002_ee0.05_b32_s20_h256_sh10,-85.0000,-138.3800,-200.0000,-181.5307,27.2036,531,35.40,0.98,0.0002,0.05,32,20,256
16,run11_g0.99_lr0.001_ee0.10_b32_s10_h128_sh10,-91.0000,-118.0800,-200.0000,-181.5333,27.2279,641,42.73,0.99,0.001,0.1,32,10,128
17,run16_g0.98_lr0.0005_ee0.10_b64_s20_h128_sh10,-94.0000,-135.9000,-200.0000,-179.6193,28.4482,606,40.40,0.98,0.0005,0.1,64,20,128
18,run19_g0.99_lr0.0005_ee0.15_b32_s10_h256_sh10,-94.0000,-140.2000,-200.0000,-187.6940,24.8542,380,25.33,0.99,0.0005,0.15,32,10,256
19,run10_g0.98_lr0.0002_ee0.15_b32_s10_h256_sh10,-95.0000,-134.4600,-200.0000,-182.0407,25.8910,593,39.53,0.98,0.0002,0.15,32,10,256
20,run13_g0.99_lr0.001_ee0.02_b32_s50_h256_sh15,-111.0000,-139.1000,-200.0000,-192.7987,19.6777,328,21.87,0.99,0.001,0.02,32,50,256
