hops,total_bandwidth,total_delay,path_reward,seed,src,dst
3.0,24.0,19.0,1.7083333333333333,7.0,0.0,5.0
3.0,25.0,18.0,1.7916666666666667,42.0,0.0,5.0
3.0,25.0,18.0,1.7916666666666667,101.0,0.0,5.0
3.0,25.0,18.0,1.7916666666666667,202.0,0.0,5.0
3.0,27.0,15.0,2.0,777.0,0.0,5.0
3.0,25.0,18.0,1.7916666666666667,909.0,0.0,5.0
3.0,25.0,18.0,1.7916666666666667,1301.0,0.0,5.0
3.0,27.0,15.0,2.0,2024.0,0.0,5.0
3.0,25.0,18.0,1.7916666666666667,3031.0,0.0,5.0
3.0,25.0,18.0,1.7916666666666667,4049.0,0.0,5.0
